Player,Base_Price,TYPE,Cost_INR_Cr,Cost_INR_Cr2,Prev_Team,Team,Status,Base_Price_Cr
Shivam Mavi,4000000,BOWLER,6,7,KKR,Gujarat Titans,Sold,0.4
Joshua Little,5000000,BOWLER,4.4,5.4,,Gujarat Titans,Sold,0.5
Kane Williamson,20000000,BATSMAN,2,3,SRH,Gujarat Titans,Sold,2
K.S. Bharat,2000000,WICKETKEEPER,1.2,2.2,DC,Gujarat Titans,Sold,0.2
Mohit Sharma,5000000,BOWLER,0.5,1.5,,Gujarat Titans,Sold,0.5
Odean Smith,5000000,ALL-ROUNDER,0.5,1.5,PBKS,Gujarat Titans,Sold,0.5
Urvil Patel,2000000,WICKETKEEPER,0.2,1.2,,Gujarat Titans,Sold,0.2
Rahul Tewatia,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
Pradeep Sangwan,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
Rashid Khan,,BOWLER,0,1,GT,Gujarat Titans,Sold,
R. Sai Kishore,,BOWLER,0,1,GT,Gujarat Titans,Sold,
Yash Dayal,,BOWLER,0,1,GT,Gujarat Titans,Sold,
Noor Ahmad,,BOWLER,0,1,GT,Gujarat Titans,Sold,
Wriddhiman Saha,,WICKETKEEPER,0,1,GT,Gujarat Titans,Sold,
Vijay Shankar,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
Shubman Gill,,BATSMAN,0,1,GT,Gujarat Titans,Sold,
Hardik Pandya,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
B. Sai Sudharsan,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
Alzarri Joseph,,BOWLER,0,1,GT,Gujarat Titans,Sold,
Abhinav Sadarangani,,BATSMAN,0,1,GT,Gujarat Titans,Sold,
Darshan Nalkande,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
David Miller,,BATSMAN,0,1,GT,Gujarat Titans,Sold,
Matthew Wade,,WICKETKEEPER,0,1,GT,Gujarat Titans,Sold,
Jayant Yadav,,ALL-ROUNDER,0,1,GT,Gujarat Titans,Sold,
Mohammad Shami,,BOWLER,0,1,GT,Gujarat Titans,Sold,
Ben Stokes,20000000,ALL-ROUNDER,16.25,17.25,,Chennai Super Kings,Sold,2
Kyle Jamieson,10000000,BOWLER,1,2,,Chennai Super Kings,Sold,1
Nishant Sindhu,2000000,ALL-ROUNDER,0.6,1.6,,Chennai Super Kings,Sold,0.2
Ajinkya Rahane,5000000,BATSMAN,0.5,1.5,KKR,Chennai Super Kings,Sold,0.5
Bhagath Varma,2000000,ALL-ROUNDER,0.2,1.2,CSK,Chennai Super Kings,Sold,0.2
Ajay Mandal,2000000,ALL-ROUNDER,0.2,1.2,,Chennai Super Kings,Sold,0.2
Shaik Rasheed,2000000,BATSMAN,0.2,1.2,,Chennai Super Kings,Sold,0.2
Ravindra Jadeja,,ALL-ROUNDER,0,1,CSK,Chennai Super Kings,Sold,
Rajvardhan Hangargekar,,ALL-ROUNDER,0,1,CSK,Chennai Super Kings,Sold,
Prashant Solanki,,BOWLER,0,1,CSK,Chennai Super Kings,Sold,
Ruturaj Gaikwad,,BATSMAN,0,1,CSK,Chennai Super Kings,Sold,
